date,actual_yield_percent,actual_change_bps,fixed_AR2_mean_forecast_change_bps,realized_innovation_bps,realized_abs_innovation_bps,realized_squared_innovation_bps2,ARCH(7) variance forecast,ARCH(7) sigma forecast,"GARCH(1,1) variance forecast","GARCH(1,1) sigma forecast","EGARCH(1,1,1) variance forecast","EGARCH(1,1,1) sigma forecast","GJR-GARCH(1,1,1) variance forecast","GJR-GARCH(1,1,1) sigma forecast","TARCH(1,1,1) variance forecast","TARCH(1,1,1) sigma forecast"
2022-10-07,4.2826,6.920000000000037,0.01965272199968379,6.900347278000353,6.900347278000353,47.614792557006886,40.60782135180401,6.372426645462779,55.77532691673621,7.4682880847444695,70.99510174138186,8.425859109988837,65.08661051855232,8.067627316538136,72.33874275844083,8.505218560298191
2022-10-10,4.5445,26.18999999999998,0.019652696484970082,26.17034730351501,26.17034730351501,684.8870779865953,39.56780451628757,6.29029446975955,54.915493515955085,7.410498870923272,70.44750582026256,8.393301246843375,63.98689397732353,7.999180831642921,71.73830699362965,8.469846928583163
2022-10-11,4.4839,-6.059999999999999,0.01965269483386248,-6.079652694833861,6.079652694833861,36.96217688980063,37.02787322148445,6.085053263652213,53.987558033407666,7.347622610981573,69.96055312815766,8.364242531643715,63.011499381513495,7.937978293086565,71.04368032634588,8.428741325153233
2022-10-12,4.5387,5.480000000000018,0.0196526955229535,5.4603473044770645,5.4603473044770645,29.815392685509945,34.00011421750179,5.830961688907053,53.04878742383122,7.283459852558482,69.40546568349151,8.330994279405761,61.99408417231799,7.873632209616981,70.33003602600645,8.38630049700143
2022-10-13,4.3034,-23.53000000000005,0.019652695542014355,-23.549652695542065,23.549652695542065,554.5861420806516,32.42950328938395,5.694690798400204,52.033397941851035,7.213417909829642,68.80428489809533,8.294834832478301,61.05838977328375,7.813986804012645,69.69026625929718,8.348069612748636
2022-10-14,4.3868,8.340000000000014,0.01965269552422265,8.320347304475792,8.320347304475792,69.22817926709757,31.441853760634142,5.607303608744059,51.14343946091187,7.15146414805471,68.19586003678906,8.258078471217688,60.07701787316589,7.750936580386004,69.09863553439473,8.312558904115791
2022-10-17,4.0661,-32.07000000000004,0.019652695524318142,-32.089652695524364,32.089652695524364,1029.745810119374,30.39207965937054,5.512901201669639,50.309414448929495,7.0929129734495895,67.66035482428379,8.225591457414097,59.27805980711577,7.699224623760224,68.4371969802807,8.272677739419123
2022-10-18,3.9967,-6.939999999999946,0.019652695524758658,-6.959652695524705,6.959652695524705,48.43676564232429,29.575688318509695,5.438353456562905,49.7631493483679,7.054300060840047,67.02363020131884,8.186796088905528,58.513978089118915,7.649442992082425,67.81104331911746,8.234746099250266
2022-10-19,3.9383,-5.840000000000023,0.019652695524742147,-5.859652695524765,5.859652695524765,34.33552971217065,28.83350638518937,5.3696840116704605,49.00868971518306,7.000620666425446,66.54356008353034,8.157423618001602,57.54895604472624,7.586102823237122,67.29386666721099,8.203283895319666
2022-10-20,3.9214,-1.6899999999999693,0.019652695524731693,-1.709652695524701,1.709652695524701,2.9229123393148755,28.200217055465274,5.310387655855764,48.20306175549378,6.942842483845776,66.0544285346663,8.127387559029426,56.81394057859502,7.537502277186722,66.66076043850117,8.164604120133514
2022-10-21,4.1101,18.869999999999987,0.01965269552473244,18.850347304475253,18.850347304475253,355.33559349933745,27.37463210056118,5.232077226165644,47.60116341949336,6.899359638364517,65.51211476799972,8.093955446380942,55.74250932010929,7.466090631656523,65.88686780869425,8.117072613245139
